Year,Place,Name,Country,Mark
1928,1,Percy WILLIAMS,CAN,10.800
1928,2,Jack LONDON,GBR,10.900
1928,3,Georg LAMMERS,GER,10.900
1928,4,Frank Clifford WYKOFF,USA,11.000
1928,5,Wilfred B. LEGG,RSA,11.000
1928,6,Bob MCALLISTER,USA,11.000
1928,7,Stane PERPAR,YUG,
1928,8,Tormod ULLEBERG,NOR,
1928,9,Sándor HAJDU,HUN,
1928,10,Robert CODRONS,LUX,
1928,11,Ilmari HELLE,FIN,
1928,12,Melvin CARSON,NOR,
1928,13,R. ENISS BEY,TUR,
1928,14,Friedrich-wilhelm WICHMANN,GER,
1928,15,Nikolaos PAPANIKOLAOU,GRE,
1928,16,Giuseppe CASTELLI,ITA,
1928,17,Arthur PORRITT,NZL,
