Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
2009,400m M,400m,M,46.13,50.44,47.8978,47.8,1.3235,9
2010,400m M,400m,M,45.9,49.01,47.685,47.98,1.0378,8
2011,400m M,400m,M,47.49,48.88,48.0944,48.18,0.4331,9
2012,400m M,400m,M,47.34,49.51,48.4756,48.56,0.7122,9
2013,400m M,400m,M,46.53,48.97,47.3589,47.19,0.7399,9
2014,400m M,400m,M,46.92,48.45,47.4811,47.53,0.4691,9
2015,400m M,400m,M,45.19,48.75,47.6622,48.12,1.074,9
2016,400m M,400m,M,45.77,48.72,47.5456,47.95,0.8466,9
2017,400m M,400m,M,46.12,48.64,47.4462,47.38,0.7344,8
2018,400m M,400m,M,46.97,47.93,47.4886,47.52,0.2895,7
2019,400m M,400m,M,46.73,48.27,47.4237,47.45,0.5048,8
2022,400m M,400m,M,47.49,50.07,48.2267,48.09,0.8198,9
2023,400m M,400m,M,45.77,48.35,47.4678,47.65,0.9186,9
2024,400m M,400m,M,46.79,48.6,47.6867,47.7,0.5432,9
