Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
2010,hj M,hj,M,19917,19923,19920.3333,19921,1.8856,9
2011,hj M,hj,M,19917,19925,19921.6667,19923,2.3094,9
2012,hj M,hj,M,19917.75,19922,19920.1389,19920,1.8563,9
2013,hj M,hj,M,19917,19923,19920.5556,19921,2.4545,9
2014,hj M,hj,M,19915.75,19924,19919.9444,19920,2.1883,9
2015,hj M,hj,M,19917,19921,19919.6667,19919,1.3333,9
2016,hj M,hj,M,19916,19922,19919.1111,19920,2.5142,9
2017,hj M,hj,M,19917,19925,19921.8889,19923,2.3307,9
2018,hj M,hj,M,19914,19922,19919.3333,19920,2.7487,6
2019,hj M,hj,M,19917,19923,19920.2222,19919,2.1999,9
2022,hj M,hj,M,19921,19923,19922.7143,19923,0.6999,7
2023,hj M,hj,M,19921,19924,19923,19924,1.1547,9
2024,hj M,hj,M,19915.5,19923,19919.9444,19920,2.2662,9
