Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
2013,pv M,pv,M,19804,19816.25,19809.3611,19810,3.4543,9
2014,pv M,pv,M,19796,19820,19808.6875,19808,6.9493,8
2015,pv M,pv,M,19811,19823,19815.6667,19817,3.7712,9
2016,pv M,pv,M,19800,19818,19810.6667,19812,4.714,9
2017,pv M,pv,M,19798,19822,19812,19816,6.9282,9
2018,pv M,pv,M,19786,19822,19810.6667,19810,9.5685,9
2019,pv M,pv,M,19803,19821,19812.3333,19815,6.4636,9
2022,pv M,pv,M,19803,19819,19811.4444,19811,6.379,9
2023,pv M,pv,M,19802,19824,19812.8889,19814,6.6071,9
2024,pv M,pv,M,19800,19818,19812,19812,6.3944,9
