Year,Event Name,Event Short Name,Gender,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
2003,lj M,lj,M,19694.25,19739,19718.4722,19720,11.5617,9
2004,lj M,lj,M,19708.25,19734.25,19723.8333,19725,6.9432,9
2005,lj M,lj,M,19728,19747.75,19736.6389,19736.25,6.6511,9
2006,lj M,lj,M,19713.5,19738,19722.1944,19721.5,8.0128,9
2007,lj M,lj,M,19715.5,19735.75,19722.9722,19719.75,7.1535,9
2008,lj M,lj,M,19710.25,19746.5,19726.8889,19724.5,10.8148,9
2009,lj M,lj,M,19697.75,19738.75,19718.5278,19719.75,12.6318,9
2010,lj M,lj,M,19713.5,19738,19725.9444,19722.75,7.7143,9
2011,lj M,lj,M,19701.5,19742.5,19726.5556,19725.25,13.327,9
2012,lj M,lj,M,19699.5,19745.75,19721.6191,19718.75,12.2458,9
2013,lj M,lj,M,19700.25,19728.5,19718.3611,19720.75,9.3661,9
2014,lj M,lj,M,19691.25,19726.25,19717.3333,19721.25,10.5889,9
2015,lj M,lj,M,19706,19735.25,19722.5556,19722.25,8.7017,9
2016,lj M,lj,M,19695,19726.75,19717.1667,19720.25,9.9023,9
2017,lj M,lj,M,19708.25,19736.25,19720.75,19718.5,9.5241,9
2018,lj M,lj,M,19699,19727,19718.0556,19719.5,8.3206,9
2019,lj M,lj,M,19700,19734.25,19721.1667,19723.5,9.215,9
2022,lj M,lj,M,19706.25,19729.5,19716.5,19713,9.2323,9
2023,lj M,lj,M,19714.25,19727.25,19721.6667,19721.25,4.0329,9
2024,lj M,lj,M,19708.25,19730,19719.5,19721.25,6.3988,9
