Year,Event Name,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1896,1500m-men,273,273,273,273,0,1
1900,1500m-men,246,246,246,246,0,1
1904,1500m-men,245,246,245.5,246,0.5,2
1908,1500m-men,243,247.9,245.4833,246.8,1.9987,6
1912,1500m-men,236,242,237.8571,237,2.3561,7
1920,1500m-men,241,265,250.63,252.2,6.7519,10
1924,1500m-men,233,243,238.75,240,3.1125,12
1928,1500m-men,233,240,236.8889,237,2.5142,9
1932,1500m-men,231,238,234.8,235,2.6382,10
1936,1500m-men,227,244,232.75,233,4.5484,12
1948,1500m-men,229,242,233.2727,232,3.5698,11
1952,1500m-men,225,236,227.6667,227,3.0912,12
1956,1500m-men,221,231,223.4167,222,2.5967,12
1960,1500m-men,215,225,220.3333,220,2.9814,9
1964,1500m-men,218,225,220.3333,220,2,9
1968,1500m-men,214,258,227.1667,226,10.7768,12
1972,1500m-men,216,226,219.2,219,2.7857,10
1976,1500m-men,219,223,219.8889,219,1.2862,9
1980,1500m-men,218,223,220.1111,220,1.5947,9
1984,1500m-men,212,220,216,216,2.4121,11
1988,1500m-men,215,221,217.5,217,1.8484,12
1992,1500m-men,220,224,221.3333,221,1.1785,12
1996,1500m-men,215,220,217.6667,218,1.4907,12
2000,1500m-men,212,236,217.9167,217,6.5378,12
2004,1500m-men,214,221,216.4167,216,2.1392,12
2008,1500m-men,213,219,214.9091,214,1.6211,11
2012,1500m-men,214,223,216.25,216,2.4195,12
2016,1500m-men,230,236,230.9231,231,1.5423,13
2020,1500m-men,208.32,218.56,212.5662,211.91,3.1767,13
2024,1500m-men,207.65,215.59,210.02,210.46,2.1217,12
