Year,Event Name,Minimum,Maximum,Mean,Median,Standard Deviation,Sample Size
1996,5000m-women,899,944,916.9286,917,11.1257,14
2000,5000m-women,880,933,892.3571,890,13.2482,14
2004,5000m-women,885,980,907.1429,907,22.0579,14
2008,5000m-women,941,1026,958.0714,949,22.9735,14
2012,5000m-women,904,935,915.0667,914,8.8654,15
2016,5000m-women,866,974,904.8824,901,28.1757,17
2020,5000m-women,876,912,889.4,886,10.5754,15
2024,5000m-women,868,922,884.5,885,15.7123,16
