Year,Place,Name,Country,Mark
1920,1,Albert HILL,GBR,04:01.800
1920,2,Philip John NOEL-BAKER,GBR,4:02.4
1920,3,Marion Lawrence SHIELDS,USA,4:04.3
1920,4,Vaclav VOHRALIK,TCH,4:08.0
1920,5,Sven Emil LUNDGREN,SWE,4:12.0
1920,6,André AUDINET,FRA,4:12.2
1920,7,Arturo PORRO,ITA,4:12.4
1920,8,Joseph RAY,USA,4:13.0
1920,9,Léon M. FOURNEAU,BEL,4:16.0
1920,10,René LERAY,FRA,04:25.000
1920,11,Duncan MCPHEE,GBR,
1920,12,John ZANDER,SWE,
1920,13,James Joseph CONNOLLY,USA,
1920,14,Carlo MARTINENGHI,ITA,
1920,15,Henri PROTAIS,FRA,
1920,16,Georges GUILLON,FRA,
1920,17,Tomeichi OHURA,JPN,
1920,18,Paavo NURMI,FIN,
1920,19,Bevil Gordon D'Urban RUDD,RSA,
1920,20,José Luis GRASSET,ESP,
1920,21,Panagiotis RETELAS,GRE,
1920,22,Søren NIELSEN,DEN,
1920,23,Jaroslav PROCHÁZKA,TCH,
1920,24,Arnold JACKSON,GBR,
1920,25,Alfred GASCHEN,SUI,
1920,26,Ernesto AMBROSINI,ITA,
