Year,Place,Name,Country,Mark
2012,1,Anna CHICHEROVA,RUS,2.05
2012,2,Brigetta BARRETT,USA,2.03
2012,3,Ruth BEITIA,ESP,2.00
2012,4,Tia HELLEBAUT,BEL,1.97
2012,5,Chaunte HOWARD,USA,1.97
2012,6,Svetlana RADZIVIL,UZB,1.97
2012,7,Emma GREEN,SWE,1.93
2012,8,Melanie MELFORT,FRA,1.93
2012,9,Irina GORDEEVA,RUS,1.93
2012,10,Airine PALSYTE,LTU,1.89
2012,11,Burcu YUKSEL,TUR,1.89
2012,12,Svetlana SHKOLINA,RUS,
2012,13,Marina AITOVA,KAZ,
