Year,Place,Name,Country,Mark
1988,1,Ulf TIMMERMANN,GDR,22.47
1988,2,Eric Randolph BARNES,USA,22.39
1988,3,Werner GÜNTHÖR,SUI,21.99
1988,4,Udo BEYER,GDR,21.40
1988,5,Remigius MACHURA,TCH,20.57
1988,6,Gert Michel WEIL,CHI,20.38
1988,7,Alessandro ANDREI,ITA,20.36
1988,8,Sergey SMIRNOV,URS,20.36
1988,9,Gregory Louis TAFRALIS,USA,20.16
1988,10,Georg Arnfinn ANDERSEN,NOR,19.91
1988,11,James DOEHRING,USA,19.89
1988,12,Helmut KRIEGER,POL,19.51
